species,growth_form,ln_area_cm2,mortality
Acropora robusta,arborescent,-2.022789265,0
Acropora robusta,arborescent,0.022001664,0
Acropora robusta,arborescent,-3.007344523,0
Acropora robusta,arborescent,-1.197852197,0
Acropora robusta,arborescent,-3.122075328,0
Acropora robusta,arborescent,-2.010468278,0
Acropora robusta,arborescent,-2.984288292,0
Acropora robusta,arborescent,-2.235745572,0
Acropora robusta,arborescent,-2.707125811,0
Acropora robusta,arborescent,-0.129156605,0
Acropora robusta,arborescent,-2.53785761,0
Acropora robusta,arborescent,-2.813857335,0
Acropora robusta,arborescent,-2.641710253,0
Acropora robusta,arborescent,-3.716783964,0
Acropora robusta,arborescent,-3.372184791,0
Acropora robusta,arborescent,-0.848755748,0
Acropora robusta,arborescent,-2.719636632,0
Acropora robusta,arborescent,-2.444769854,0
Acropora robusta,arborescent,-2.589094477,0
Acropora robusta,arborescent,-2.588099102,0
Acropora robusta,arborescent,-2.651264951,0
Acropora robusta,arborescent,-2.296051223,1
Acropora robusta,arborescent,-1.114838365,0
Acropora robusta,arborescent,-4.032921216,1
Acropora robusta,arborescent,-2.112891344,0
